"","Project.Plot","Plant_tag","DBH_mm","Height_m","Veg_Type","ID","Status","Distance_km"
"1","DF_3B","1554",558.8,30,"Tree","Heisteria parvifolia","Defaunated",20.195
"2","DF_3B","69",15.8,2.4,"Tree","Dialium pachyphyllum","Defaunated",20.195
"3","DF_3B","4371",11.7,1.8,"Sapling","Scorodophloeus zenkeri","Defaunated",20.195
"4","DF_3B","607",19.4,2.5,"Tree","Odjendja gabonensis","Defaunated",20.195
"5","DF_3B","7150",21.5,3.7,"Tree","Scorodophloeus zenkeri","Defaunated",20.195
"6","DF_3B","7110",65,7.5,"Tree","Centroplacus glaucinus","Defaunated",20.195
"7","DF_3B","627",24.8,2.28,"Tree","Trichoscypha abut","Defaunated",20.195
"8","DF_3B","419",19.6,2,"Tree","Scorodophloeus zenkeri","Defaunated",20.195
"9","DF_3B","775",12.6,1.7,"Sapling","Afrostyrax lepidophyllus","Defaunated",20.195
"10","DF_3B","650",10.8,1.65,"Sapling","Garcinia afzelli","Defaunated",20.195
"11","DF_3B","434",297,22,"Tree","Plagiostyles africana","Defaunated",20.195
"12","DF_3B","269",24.7,3.5,"Tree","Greenwaydendron gabonica","Defaunated",20.195
"13","DF_3B","7129",32.7,6,"Tree","Phyllanthus diandrus","Defaunated",20.195
"14","DF_3B","7471",10.7,1.8,"Sapling","Odoniodendron sp 1","Defaunated",20.195
"15","DF_3B","7480",31.8,4,"Tree","Lichostema glanscesens","Defaunated",20.195
"16","DF_3B","7291",63,11.5,"Tree","Greenwaydendron gabonica","Defaunated",20.195
"17","DF_3B","7105",12.7,1.9,"Sapling","Pausinystalia johimbe","Defaunated",20.195
"18","DF_3B","7213",19.2,1.6,"Sapling","Phylaopsis discofolia","Defaunated",20.195
"19","DF_3B","653",10.7,1.5,"Sapling","Chytranthus talbotii","Defaunated",20.195
"20","DF_3B","80",13.7,2.4,"Tree","Rhinorea sp 1","Defaunated",20.195
"21","DF_3B","624",8.5,1.8,"Sapling","Scorodophloeus zenkeri","Defaunated",20.195
"22","DF_3B","2715",89,10,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"23","DF_3B","3192",17.9,1.8,"Sapling","Coffea sp 1","Defaunated",20.195
"24","DF_3B","4892",42.5,5.8,"Tree","Synsepalum longifolia","Defaunated",20.195
"25","DF_3B","5388",9.5,1.7,"Sapling","Afrostyrax lepidophyllus","Defaunated",20.195
"26","DF_3B","7086",8.7,2.2,"Tree","Lichostema glanscesens","Defaunated",20.195
"27","DF_3B","7092",38.7,9,"Tree","Dialium dinklagei","Defaunated",20.195
"28","DF_3B","1203",11.7,2.5,"Tree","Chytranthus talbotii","Defaunated",20.195
"29","DF_3B","7039",13.3,1.9,"Sapling","Landolphia sp 1","Defaunated",20.195
"30","DF_3B","7046",22.8,3.2,"Tree","Chytranthus talbotii","Defaunated",20.195
"31","DF_3B","7140",78,9.5,"Tree","Santiria trimera","Defaunated",20.195
"32","DF_3B","3138",11.2,1.8,"Sapling","Scorodophloeus zenkeri","Defaunated",20.195
"33","DF_3B","3122",16.4,2.1,"Tree","Lichostema glanscesens","Defaunated",20.195
"34","DF_3B","2163",8.2,1.5,"Sapling","Chytranthus talbotii","Defaunated",20.195
"35","DF_3B","2117",13.6,1.7,"Sapling","Strombosia pustulata","Defaunated",20.195
"36","DF_3B","3838",154,18,"Tree","Picralima nitida","Defaunated",20.195
"37","DF_3B","3831",12.6,1.5,"Sapling","Baphia leptobotris","Defaunated",20.195
"38","DF_3B","3191",669,23,"Tree","Pentaclethra macrophylla","Defaunated",20.195
"39","DF_3B","1238",10.2,2.1,"Tree","Chytranthus talbotii","Defaunated",20.195
"40","DF_3B","7070",11.2,1.7,"Sapling","Scorodophloeus zenkeri","Defaunated",20.195
"41","DF_3B","5391",7.4,2,"Tree","Dialium pachyphyllum","Defaunated",20.195
"42","DF_3B","2714",185,23,"Tree","Centroplacus glaucinus","Defaunated",20.195
"43","DF_3B","7959",28.9,3.9,"Tree","Lichostema glanscesens","Defaunated",20.195
"44","DF_3B","3083",20.5,2.4,"Tree","Lichostema glanscesens","Defaunated",20.195
"45","DF_3B","1441",14.7,2,"Tree","Odjendja gabonensis","Defaunated",20.195
"46","DF_3B","1968",31.5,3.7,"Tree","Lichostema glanscesens","Defaunated",20.195
"47","DF_3B","2183",11.4,2.2,"Tree","Rhinorea sp 1","Defaunated",20.195
"48","DF_3B","2189",16.4,2.2,"Tree","Clenianthus gabonii","Defaunated",20.195
"49","DF_3B","2531",15.7,1.7,"Sapling","Coffea sp 1","Defaunated",20.195
"50","DF_3B","7015",16.7,2.8,"Tree","Warneckea sp 1","Defaunated",20.195
"51","DF_3B","7031",32.7,2.1,"Tree","Napoleona vogellei","Defaunated",20.195
"52","DF_3B","3328",539,27,"Tree","Distemonanthus benthamianus","Defaunated",20.195
"53","DF_3B","3694",50,9,"Tree","Lichostema glanscesens","Defaunated",20.195
"54","DF_3B","995",10.7,2,"Tree","Campylospermum elongatum","Defaunated",20.195
"55","DF_3B","416",11.5,2.4,"Tree","Garcinia afzelli","Defaunated",20.195
"56","DF_3B","3309",10.1,1.8,"Sapling","Baphia leptobotris","Defaunated",20.195
"57","DF_3B","7926",11.8,1.6,"Sapling","Dichranolepsis sp 1","Defaunated",20.195
"58","DF_3B","1269",10.2,1.8,"Sapling","Greenwayodendron suaveolens","Defaunated",20.195
"59","DF_3B","7182",12.5,1.8,"Sapling","Baphia leptobotris","Defaunated",20.195
"60","DF_3B","2612",26.5,8,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"61","DF_3B","7007",11.9,2.3,"Tree","Phyllanthus diandrus","Defaunated",20.195
"62","DF_3B","7321",27.8,2.7,"Tree","Baphia leptobotris","Defaunated",20.195
"63","DF_3B","7268",6.7,1.6,"Sapling","Garcinia afzelli","Defaunated",20.195
"64","DF_3B","412",178,11,"Tree","Baphia leptobotris","Defaunated",20.195
"65","DF_3B","3050",518,25,"Tree","Pentaclethra macrophylla","Defaunated",20.195
"66","DF_3B","2590",27.8,3.35,"Tree","Baphia leptobotris","Defaunated",20.195
"67","DF_3B","3635",39.7,3.9,"Tree","Chytranthus talbotii","Defaunated",20.195
"68","DF_3B","4313",27.6,3.38,"Tree","Centroplacus glaucinus","Defaunated",20.195
"69","DF_3B","2586",94,9,"Tree","Baphia leptobotris","Defaunated",20.195
"70","DF_3B","7722",194,22,"Tree","Strombosia pustulata","Defaunated",20.195
"71","DF_3B","7702",41.7,6.8,"Tree","Centroplacus glaucinus","Defaunated",20.195
"72","DF_3B","1607",13.3,2.26,"Tree","Lichostema glanscesens","Defaunated",20.195
"73","DF_3B","7152",19.6,3.18,"Tree","Chytranthus talbotii","Defaunated",20.195
"74","DF_3B","226",21.9,3.1,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"75","DF_3B","18",27.7,4,"Tree","Grewia coriacea","Defaunated",20.195
"76","DF_3B","7437",21.9,3.3,"Tree","Baphia leptobotris","Defaunated",20.195
"77","DF_3B","7489",34.5,4,"Tree","Napoleona vogellei","Defaunated",20.195
"78","DF_3B","5146",158,10,"Tree","Baphia leptobotris","Defaunated",20.195
"79","DF_3B","7452",16.5,2.5,"Tree","Hymenostegia pelegrini","Defaunated",20.195
"80","DF_3B","7405",11.8,1.8,"Sapling","Dialium pachyphyllum","Defaunated",20.195
"81","DF_3B","4364",15.4,1.5,"Sapling","Chytranthus talbotii","Defaunated",20.195
"82","DF_3B","7160",22.6,4.45,"Tree","Centroplacus glaucinus","Defaunated",20.195
"83","DF_3B","641",43.6,7,"Tree","Centroplacus glaucinus","Defaunated",20.195
"84","DF_3B","3035",27.2,3.95,"Tree","Eremospatha sp 1","Defaunated",20.195
"85","DF_3B","7246",33.7,4.5,"Tree","Baphia leptobotris","Defaunated",20.195
"86","DF_3B","7233",137,20,"Tree","Baphia leptobotris","Defaunated",20.195
"87","DF_3B","7221",13.6,2.7,"Tree","Lichostema glanscesens","Defaunated",20.195
"88","DF_3B","7241",20.4,1.6,"Sapling","Lichostema glanscesens","Defaunated",20.195
"89","DF_3B","7418",21.7,2.2,"Tree","Scorodophloeus zenkeri","Defaunated",20.195
"90","DF_3B","7421",32.8,4.4,"Tree","Baphia leptobotris","Defaunated",20.195
"91","DF_3B","7466",19.6,1.8,"Sapling","Garcinia afzelli","Defaunated",20.195
"92","DF_3B","7422",15.5,1.6,"Sapling","Napoleona vogellei","Defaunated",20.195
"93","DF_3B","7350",13.1,3.1,"Tree","Lichostema glanscesens","Defaunated",20.195
"94","DF_3B","7360",36.3,7,"Tree","Greenwaydendron gabonica","Defaunated",20.195
"95","DF_3B","3864",18.2,2.6,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"96","DF_3B","2198",9.2,2.1,"Tree","Lichostema glanscesens","Defaunated",20.195
"97","DF_3B","3196",41.8,6,"Tree","Chytranthus talbotii","Defaunated",20.195
"98","DF_3B","2160",17.7,2.5,"Tree","Lichostema glanscesens","Defaunated",20.195
"99","DF_3B","3154",223,20,"Tree","Coula edulis","Defaunated",20.195
"100","DF_3B","2185",23.8,3.8,"Tree","Baphia leptobotris","Defaunated",20.195
"101","DF_3B","3185",14.9,2.7,"Tree","Lichostema glanscesens","Defaunated",20.195
"102","DF_3B","3804",21.2,3.1,"Tree","Lichostema glanscesens","Defaunated",20.195
"103","DF_3B","2137",14.1,1.8,"Sapling","Baphia leptobotris","Defaunated",20.195
"104","DF_3B","7211",19.5,3.6,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"105","DF_3B","7545",35.1,4.3,"Tree","Baphia leptobotris","Defaunated",20.195
"106","DF_3B","2200",25.2,3.05,"Tree","Fern Epiphyte sp 1","Defaunated",20.195
"107","DF_3B","2142",14.4,1.5,"Sapling","Chytranthus talbotii","Defaunated",20.195
"108","DF_3B","3871",17.4,3.5,"Tree","Chytranthus talbotii","Defaunated",20.195
"109","DF_3B","3136",13.5,1.5,"Sapling","Baphia leptobotris","Defaunated",20.195
"110","DF_3B","3839",19.7,1.7,"Sapling","Greenwaydendron gabonica","Defaunated",20.195
"111","DF_3B","5340",20.6,2,"Tree","Baphia leptobotris","Defaunated",20.195
"112","DF_3B","3870",479,25,"Tree","Santiria trimera","Defaunated",20.195
"113","DF_3B","3182",68,9,"Tree","Baphia leptobotris","Defaunated",20.195
"114","DF_3B","2191",252,25,"Tree","Scorodophloeus zenkeri","Defaunated",20.195
"115","DF_3B","7282",37.9,6,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"116","DF_3B","7305",235,25,"Tree","Baphia leptobotris","Defaunated",20.195
"117","DF_3B","7486",21.3,3.1,"Tree","Lichostema glanscesens","Defaunated",20.195
"118","DF_3B","7627",14.4,2.8,"Tree","Dialium dinklagei","Defaunated",20.195
"119","DF_3B","755",13.7,2.9,"Tree","Lichostema glanscesens","Defaunated",20.195
"120","DF_3B","7363",30.6,3.2,"Tree","Lichostema glanscesens","Defaunated",20.195
"121","DF_3B","4321",6.4,1.5,"Sapling","Agellae paradoxa","Defaunated",20.195
"122","DF_3B","86",30.1,4.2,"Tree","Baphia leptobotris","Defaunated",20.195
"123","DF_3B","621",26.3,2.3,"Tree","Lichostema glanscesens","Defaunated",20.195
"124","DF_3B","640",10.2,1.7,"Sapling","Lichostema glanscesens","Defaunated",20.195
"125","DF_3B","3819",22.5,1.9,"Sapling","Napoleona vogellei","Defaunated",20.195
"126","DF_3B","3865",85,4.1,"Tree","Baphia leptobotris","Defaunated",20.195
"127","DF_3B","4029",21.7,3.7,"Tree","Baphia leptobotris","Defaunated",20.195
"128","DF_3B","5892",67,9,"Tree","Baphia leptobotris","Defaunated",20.195
"129","DF_3B","2491",44.7,9,"Tree","Baphia leptobotris","Defaunated",20.195
"130","DF_3B","2934",33.5,4.4,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"131","DF_3B","5144",15.1,2.6,"Tree","Garcinia afzelli","Defaunated",20.195
"132","DF_3B","2985",165,15,"Tree","Centroplacus glaucinus","Defaunated",20.195
"133","DF_3B","2961",65,2.6,"Tree","Napoleona vogellei","Defaunated",20.195
"134","DF_3B","5141",365,20,"Tree","Plagiostyles africana","Defaunated",20.195
"135","DF_3B","7826",44.5,3.8,"Tree","Baphia leptobotris","Defaunated",20.195
"136","DF_3B","5151",118,18,"Tree","Centroplacus glaucinus","Defaunated",20.195
"137","DF_3B","3568",100,10,"Tree","Pancovia pedicellaris","Defaunated",20.195
"138","DF_3B","3584",15.1,1.5,"Sapling","Drypetes sp 1","Defaunated",20.195
"139","DF_3B","4080",44.5,9,"Tree","Baphia leptobotris","Defaunated",20.195
"140","DF_3B","7935",11.1,4.4,"Tree","Baphia leptobotris","Defaunated",20.195
"141","DF_3B","4720",13.1,1.6,"Sapling","Baphia leptobotris","Defaunated",20.195
"142","DF_3B","7419",41.7,8,"Tree","Phyllanthus diandrus","Defaunated",20.195
"143","DF_3B","7410",16.7,3.9,"Tree","Baphia leptobotris","Defaunated",20.195
"144","DF_3B","68",29.7,4.4,"Tree","Rhinorea sp 1","Defaunated",20.195
"145","DF_3B","7279",18.7,3.1,"Tree","Rhinorea sp 1","Defaunated",20.195
"146","DF_3B","2530",30.7,4.3,"Tree","Rhinorea sp 1","Defaunated",20.195
"147","DF_3B","3803",9.6,2.1,"Tree","Dialium pachyphyllum","Defaunated",20.195
"148","DF_3B","1049",7.4,1.8,"Sapling","Afrostyrax lepidophyllus","Defaunated",20.195
"149","DF_3B","2567",12.7,2.1,"Tree","Phyllanthus diandrus","Defaunated",20.195
"150","DF_3B","907",12.2,2.4,"Tree","Odoniodendron sp 1","Defaunated",20.195
"151","DF_3B","2140",223,20,"Tree","Dialium bipindense","Defaunated",20.195
"152","DF_3B","981",10.1,1.9,"Sapling","Lichostema glanscesens","Defaunated",20.195
"153","DF_3B","428",43.7,10,"Tree","Bleischmedia sp 1","Defaunated",20.195
"154","DF_3B","589",13.8,1.9,"Sapling","Odoniodendron sp 1","Defaunated",20.195
"155","DF_3B","668",23.6,2,"Tree","Scorodophloeus zenkeri","Defaunated",20.195
"156","DF_3B","2159",20.2,3.6,"Tree","Carapa procera","Defaunated",20.195
"157","DF_3B","3834",9.3,1.5,"Sapling","Lichostema glanscesens","Defaunated",20.195
"158","DF_3B","3162",105,9,"Tree","Baphia leptobotris","Defaunated",20.195
"159","DF_3B","2542",21.4,3.3,"Tree","Baphia leptobotris","Defaunated",20.195
"160","DF_3B","3199",13.5,1.8,"Sapling","Bleischmedia sp 1","Defaunated",20.195
"161","DF_3B","2133",18.1,2.1,"Tree","Lichostema glanscesens","Defaunated",20.195
"162","DF_3B","7477",16.5,2.7,"Tree","Clenianthus gabonii","Defaunated",20.195
"163","DF_3B","7402",6.3,2.2,"Tree","Baphia leptobotris","Defaunated",20.195
"164","DF_3B","7057",11.1,2,"Tree","Rhinorea sp 1","Defaunated",20.195
"165","DF_3B","4309",16.7,2.1,"Tree","Baphia leptobotris","Defaunated",20.195
"166","DF_3B","798",63,7,"Tree","Baphia leptobotris","Defaunated",20.195
"167","DF_3B","944",14.7,2.1,"Tree","Eremospatha sp 1","Defaunated",20.195
"168","DF_3B","3060",14.8,1.8,"Sapling","Lichostema glanscesens","Defaunated",20.195
"169","DF_3B","774",25.3,3.6,"Tree","Lichostema glanscesens","Defaunated",20.195
"170","DF_3B","402",17.7,2.1,"Tree","Bleischmedia sp 1","Defaunated",20.195
"171","DF_3B","3058",16.4,3.2,"Tree","Lichostema glanscesens","Defaunated",20.195
"172","DF_3B","7250",9.2,1.5,"Sapling","Pseudoprosopis gilletti","Defaunated",20.195
"173","DF_3B","562",50,9,"Tree","Lichostema glanscesens","Defaunated",20.195
"174","DF_3B","3011",6.7,8,"Tree","Baphia leptobotris","Defaunated",20.195
"175","DF_3B","7232",14.4,1.8,"Sapling","Lichostema glanscesens","Defaunated",20.195
"176","DF_3B","7231",14.6,2.3,"Tree","Odoniodendron sp 1","Defaunated",20.195
"177","DF_3B","7209",16.6,3.3,"Tree","Baphia leptobotris","Defaunated",20.195
"178","DF_3B","7256",22.9,3.8,"Tree","Greenwayodendron suaveolens","Defaunated",20.195
"179","DF_3B","7300",95,10,"Tree","Baphia leptobotris","Defaunated",20.195
"180","DF_3B","7206",264,25,"Tree","Plagiostyles africana","Defaunated",20.195
"181","DF_3B","7230",17.4,4.7,"Tree","Diospyros zenkeri","Defaunated",20.195
"182","DF_3B","7208",29.4,4.8,"Tree","Plagiostyles africana","Defaunated",20.195
"183","DF_3B","7267",33.8,4.4,"Tree","Baphia leptobotris","Defaunated",20.195
"184","DF_3B","7263",20.7,3.5,"Tree","Chytranthus talbotii","Defaunated",20.195
"185","DF_3B","4196",969,30,"Tree","Dacryodes buettneri","Defaunated",20.195
"186","DF_3B","4332",28.2,9,"Tree","Scorodophloeus zenkeri","Defaunated",20.195
"187","DF_3B","7194",28.7,2.2,"Tree","Rhinorea sp 1","Defaunated",20.195
"188","DF_3B","3851",11.4,1.9,"Sapling","Warneckea sp 1","Defaunated",20.195
"189","DF_3B","3856",16.4,1.66,"Sapling","Lichostema glanscesens","Defaunated",20.195
