Plot_Name,xcoord,ycoord
DF 1A,12.792242,0.505161
DF 1B,12.790035,0.503903
DF2A,12.754134,0.450072
DF2B,12.752971,0.45135
DF 3A,12.737228,0.407387
DF 3B,12.736295,0.408654
DF 4A,12.642535,0.36945
DF 4B,12.64344,0.36614
DF 5A,12.806741,0.480954
DF 5B,12.806491,0.47936
DF 6A,12.692734,0.387943
DF 6B,12.693507,0.389428
IF 1A,12.582756,0.295104
IF 1B,12.58468,0.297554
IF 2A,12.580909,0.310917
IF 2B,12.580756,0.309441
IF 3A,12.56139,0.292899
IF 3B,12.55999,0.29277
IF 4A,12.615749,0.28635
IF 4B,12.617269,0.28664
